author_name,post_id,image_ID,comments_count,likes_count,caption,date,year,month,day
timferriss,timferriss_1213949_3050436278563318518_281_7,2023-03-03_16-19-23_UTC.jpg,7,281,"NEW podcast episode is up: ""Michael Mauboussin — How Great Investors Make Decisions, Harnessing The Wisdom (vs. Madness) of Crowds, Lessons from Race Horses, and More""

Visit tim.blog/podcast to listen to the interview.

Enjoy! 🙌
",2023-03-0,2023,03,0
namratapurohit,namratapurohit_431641_3009529632994742399_1261_24,2023-01-06_05-45-11_UTC.jpg,24,1261,"Who’s the boss? 😎💕 feeling cool and strong!
",2023-01-0,2023,01,0
kunalgir,kunalgir_13965_1887144151416048760_1221_5,2018-10-10_15-25-35_UTC.jpg,5,1221,"May you dream the best dreams tonight and wake up to find them true. 
Happy birthday to the hardest working girl I know @rakulpreet
",2018-10-1,2018,10,1
bonappetitmag,bonappetitmag_4607066_3064320898547142915_580_6,2023-03-22_20-05-42_UTC.jpg,6,580,"For @zaynab_issa, three types of Sehri come to mind: The one she wakes up for on weekdays before work, the one where she eats at 2 or 3 a.m. after a long night at the mosque, and the one where she’s hosting. No matter the type of Sehri you’re having, these recipes will carry you through Ramadan. From peanut butter and jelly oatmeal to tandoori buffalo wings, find all the recipes at the link in bio. 📷 Photo: @isa.zapata 🍴 Food Styling: @tanekamorris 🥣 Prop Styling: @williager7
",2023-03-2,2023,03,2
primevideouk,primevideouk_320713_3066945400800244482_937_15,2023-03-26_11-00-04_UTC.jpg,15,937,"They are NOT the real heroes 😫

📺 #TheBoys

🎭 #AntonyStarr
",2023-03-2,2023,03,2
smittenkitchen,smittenkitchen_1706412_3067859812212882419_5261_25,2023-03-27_17-16-50_UTC.jpg,25,5261,"New: My core recipe for a perfect-every-time vegetable burrito, one that’s filling, hearty, and exactly the way I like it: rice optional, ingredients that flex to what you have around, and as good from the freezer as they are fresh. // Bean and Vegetable Burritos on smittenkitchen.com or linked in profile. In more detail: Go to my profile. Click the link ""smittenkitchen.com/instagram"" Click the photo for the recipe you want and it will take you to it.
",2023-03-2,2023,03,2
taramilktea,taramilktea_1371196_2995209944266875308_15974_2089,2022-12-17_11-34-31_UTC_1.jpg,2089,15974,"Underneath the tree … the ultimate gifts, @dior via dior.com ✨✨✨
",2022-12-1,2022,12,1
deepak_chahar9,deepak_chahar9_2363731_2853328866567912274_365279_841,2022-06-04_17-22-08_UTC_1.jpg,841,365279,"To be continued …
",2022-06-0,2022,06,0
sophiechoudry,sophiechoudry_3311924_3016812133589921620_-1_316,2023-01-16_06-54-12_UTC_1.jpg,316,-1,"“A flower doesn’t think of competing with the flower next to it. It just blooms.” You do you 🌸💕 #mondaymotivation #mondaythoughts #youdoyou #bloom #floral #flowers #thailand #sophiechoudry
",2023-01-1,2023,01,1
mandirabedi,mandirabedi_2034192_2863850507363824801_2254_30,2022-06-19_05-46-46_UTC.jpg,30,2254,"It is a choice..
",2022-06-1,2022,06,1
shikhardofficial,shikhardofficial_13316748_3059566246680613759_120061_486,2023-03-16_06-39-00_UTC.jpg,486,120061,"My favorite brand @alcissports is now available at the Fashion Factory from today.. Go check out their latest collection for the best in Sports Wear #ad
",2023-03-1,2023,03,1
etthehiphoppreacher,etthehiphoppreacher_2196457_3057738251977269778_533_28,2023-03-13_18-07-06_UTC.jpg,28,533,"ET x @wall_street_trapper 🔥🔥🔥🔥 8 days away. 

New Orleans are you ready? www.youoweyounola.com
",2023-03-1,2023,03,1
jimkwik,jimkwik_2036288_3065134178646794183_5578_155,2023-03-23_23-01-32_UTC_1.jpg,155,5578,"Are you ready to boost your self-esteem, reduce stress, and achieve your goals?⁠
⁠
Science shows that positive affirmations can do just that!⁠
⁠
By changing the way we think and activating our brain's reward centers, affirmations can improve performance, reduce anxiety, and increase self-efficacy.⁠
⁠
With limitless possibilities ahead, give yourself a daily dose of positivity and watch your life transform! 🔥⁠
⁠
SWIPE LEFT ◀◀◀ and SHARE the self-affirmation statement that speaks to you! 💛⁠
⁠
And TAG a friend who could use some positivity in their life too! 👇⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
#JimKwik #limitless #mindsetmatters #motivation101 #successtips #mindsetquotes #icandothis #ican #selflovejourney #selftalk⁠
———————⁠
(Reference: Creswell, J. D., Welch, W. T., Taylor, S. E., Sherman, D. K., Gruenewald, T. L., & Mann, T. (2007). Affirmation of personal values buffers neuroendocrine and psychological stress responses. Social Cognitive and Affective Neuroscience, 2(3), 143-151. doi: 10.1093/scan/nsm009)
",2023-03-2,2023,03,2
rheakapoor,rheakapoor_1775885_2994712410035782983_9444_85,2022-12-16_19-06-00_UTC_1.jpg,85,9444,"Tonight, in @maisonvalentino
Styled with @manishamelwani 
Beauty @mallika_bhat @alpakhimani 
Jewels 🤫 
Shot by @thehouseofpixels
",2022-12-1,2022,12,1
shreyajain26,shreyajain26_451117_2713972100904623019_20120_86,2021-11-24_10-45-07_UTC_1.jpg,86,20120,"Indian Outfits in Dilli ki Sardi are supreme 💚
Suit: @fempirebygg.in 
Shawl: Kalamkaari Shawl from Kashmir
Belt and Clutch: @sabyasachiofficial  @sabyasachiaccessories 
Heels: @dune_london_india 
Earrings: Mom’s 
#shreyajain #IndianWear #ootd
",2021-11-2,2021,11,2
minimalistbaker,minimalistbaker_2144759_3059729369782740681_2112_30,2023-03-16_12-03-06_UTC_1.jpg,30,2112,"Tastes like a milkshake, but sneaks in a veggie 🍨? We’re here for it! Our NEW Creamy Vanilla Tahini Shake is SUPER delicious 😋, sweet 🍬, decadent, + made with a hidden veggie: cauliflower 🤍! Once you try this naturally sweetened, healthier dessert (hello, iron & calcium!) you’ll want to make it again + again!⁠
⁠
Link in bio → @minimalistbaker for the recipe!⁠
⁠
#creamy #vanilla #tahini #milkshake #minimalistbaker #vegan #glutenfree
",2023-03-1,2023,03,1
shikhardofficial,shikhardofficial_13316748_3068266258977062341_61573_355,2023-03-28_06-44-22_UTC_1.jpg,355,61573,"Dabangg Entry” ke saath, @myteam11_official par Action shuru ho chuka hai.
Iss Indian T20 league, uthao phone, banao apni best teams aur Jeeto karodo mein.
Download Myteam11 Now - Your’s “Shikhar Dabangg”
",2023-03-2,2023,03,2
anshukayoga,anshukayoga_403394_3038709386158780837_5029_54,2023-02-15_12-00-08_UTC_1.jpg,54,5029,"Soaking in the morning sun ☀️ surrounded by surreal sounds of nature 🧡🌳 

A few beautiful days of calm spent at @sixsensesvana 💚

#AnshukaYogaWellness #AnshukaYoga #AnshukaParwani #SimplySixSenses #SixSensesVana #VanaWayofLiving
",2023-02-1,2023,02,1
shwetarohira,shwetarohira_533824_3054690494728449355_16526_75,2023-03-09_13-11-45_UTC.jpg,75,16526,"Where Love was Sinful - Chirasree Bose @chirasreebose_ 

Right from the title the book has me it’s like a spider web that entangled me and every page unravels a layer that surprised me or rather I would say shocked me. Kudos to the author who so well has crafted a story with so many characters and each one of them with different layers and back stories. It’s a book that has every ingredient required for a perfect drama thriller. It has love, friendships, relationships, politics, greed, jealousy, adulatory, lust and more. It took me a couple of sitting to read the book as after few chapters I felt like analysing the characters and their stories as to their reasoning for their particular sin. It’s a story about umpteenth sins but all for one reason love. But the catch here is love for different emotions. Deep right!!! Hence I would says it’s a story with a lot of depth. To give you a little snippet it’s a story of three main characters Shaaman, Maya and Aahil. As maya arrives in Delhi to meet her husband Shaaman family and for a celebration, mysterious deaths start taking place in the house and what should have been a celebration turns catastrophic. There is a story between maya and aahil too which is sinful. Now you may wonder who is Aahil but if I tell you anything more it would be a spoiler. I would recommend you to read and unravel the mystery yourself. I also have to when I read the last book penned by the author I was amazed at the nail biting suspense thriller as I couldn’t till the end guess what was in store for me but here again she has amazed me and broken her own record with another suspense thriller. It’s a book I would recommend all mystery lovers who would like to have an amazing thrilling time.
",2023-03-0,2023,03,0
mandirabedi,mandirabedi_2034192_2866281860256507847_6879_84,2022-06-22_14-17-25_UTC_1.jpg,84,6879,"Happy birthday my sweet, sweet T. It’s not like I know you from forever... But I know that I will love you forever !! ❤️ Stay the shiny, happy girl you are ,ALWAYS!! ❤️✨❣️🧿
",2022-06-2,2022,06,2
primevideouk,primevideouk_320713_3042333556814921416_591_33,2023-02-20_12-00-43_UTC.jpg,33,591,"give us your best caption for this pic of Homelander and we'll create and post our fave (crediting YOU ofc) 🔥

📺 #TheBoys

🎭 #AntonyStarr
",2023-02-2,2023,02,2
shikhatalsania,shikhatalsania_125202_3017596207936600820_2182_21,2023-01-17_08-52-01_UTC_1.jpg,21,2182,"Mumbai- “Hi! Today we have Poor AQI+Pollen+Construction+Pollen and much more!”
Shikha’s Dyson Purifier Cool- “Suck It!!! We got CLEAN AIR. Thenkyew!”

@dyson_india #DysonIndia #DysonHome #Gifted
",2023-01-1,2023,01,1
food52,food52_3599596_3065613961013853668_1769_11,2023-03-24_14-54-48_UTC_1.jpg,11,1769,"We're gearing up for the *final* days of our Spring Refresh Sale, which means there's still time to grab your home and kitchen faves for up to 60% off. Tap or head to the link in bio to shop using code: SPRING. 📸: @juliagartland @rockyluten #food52shop #f52community #f52grams
",2023-03-2,2023,03,2
shwetarohira,shwetarohira_533824_3067560929648188432_8946_85,2023-03-27_07-23-00_UTC_1.jpg,85,8946,"Happy Theatres day to all ❤️ #thatsmygirl my debut theatre play which gave me memories that I will cherish all my life. If somebody will ask me what’s the best thing that ever happened to you hands down I would say this play 🙌 Thanks to @bharatdabholkar @ananthmahadevanofficial @mohanazaad @riicha.goel I had this experience of being on the stage and having the best debut one can ask for ❤️ well I can go on with the emotions I faced from happy to scary all of it but the insta says caption too long. Can share numerous photo but the #photodump also says #morethanenough so on the last note I can just say there moments these memories are much more than I can express 🥳🤩🤗
#worldtheatreday
",2023-03-2,2023,03,2
rahulkl,rahulkl_130314_3069832853333088164_1728_14,2023-03-30_10-36-55_UTC_1.jpg,14,1728,"From the captains' photoshoot ahead of IPL 2023🏆💙
",2023-03-3,2023,03,3
shikhatalsania,shikhatalsania_125202_3001019948795015243_578_9,2022-12-25_11-57-57_UTC_1.jpg,9,578,"Merry merry from mine to yours 🎄
",2022-12-2,2022,12,2
zomato,zomato_809822_3053025117185582000_78033_460,2023-03-07_06-02-56_UTC.jpg,460,78033,"kya itna buraaaa hu mai maa 😭😭😭
",2023-03-0,2023,03,0
hardikpandya93,hardikpandya93_25298326_3066948974228425840_1091375_2398,2023-03-26_11-07-10_UTC_1.jpg,2398,1091375,"🚨
",2023-03-2,2023,03,2
diipakhosla,diipakhosla_1908495_3024270483029929897_16367_66,2023-01-26_13-52-37_UTC_1.jpg,66,16367,"On Wednesdays we wear… 
💖🌸🎀

Yesterday my look for the @ramialaliofficial show 

Look @ramialaliofficial, gloves my own 
Photography @visualisation_ 
Makeup @charlottetilbury @laurievanbmua 
Hair @franckprovostparis @alexbhairstylist
",2023-01-2,2023,01,2
santoshishetty,santoshishetty_746384_3057529479371819432_7759_53,2023-03-13_11-12-18_UTC_1.jpg,53,7759,"Disco deewane 🪩🕺🏻🪩💃🏻🪩
Both Anti & I in @itrhofficial 🤤😻 for @lakmefashionwk 🫶🏻
Shot by @banjaariii ❤️‍🔥
",2023-03-1,2023,03,1
shikhardofficial,shikhardofficial_13316748_3032842093202327909_361575_627,2023-02-07_09-42-52_UTC_1.jpg,627,361575,"Discussion time with @jaspritb1 😎
",2023-02-0,2023,02,0
kunalgir,kunalgir_13965_2161086562038109307_906_4,2019-10-23_14-40-15_UTC.jpg,4,906,"@aambani1 Wish you a fit body, a calm mind and a house full of love! Happy birthday Akash !
",2019-10-2,2019,10,2
yogeshfitness,yogeshfitness_123524_2886488571274188638_1192_59,2022-07-20_11-24-33_UTC.jpg,59,1192,"𝐓𝐡𝐞 𝐨𝐧𝐥𝐲 𝐰𝐚𝐲 𝐭𝐨 𝐝𝐨 𝐆𝐫𝐞𝐚𝐭 𝐰𝐨𝐫𝐤 𝐢𝐬 𝐭𝐨 𝐋𝐎𝐕𝐄 𝐰𝐡𝐚𝐭 𝐘𝐎𝐔 𝐃𝐨 ❤️💪
#fitlife #lifegoals #fitnessjourney #stayfocused #keepgoing #staypositive #lifeisgood #fitnessaddict #blessed 
#live #love #laugh 
#teamon_in #proven 
#fitness #coach #bollywood #celebritytrainer #yogeshfitness 💪
",2022-07-2,2022,07,2
sachintendulkar,sachintendulkar_39433992_3026537717899175958_619959_1450,2023-01-29_16-57-12_UTC_1.jpg,1450,619959,"Indian women’s cricket is on the up! First the announcement of the #WPL & now the #U19T20WorldCup win.

Congratulations to the entire women’s team on winning the inaugural U19 World Cup. 🇮🇳🏆🏏

This win will inspire a whole generation to take up sports.
",2023-01-2,2023,01,2
deepikamehtayoga,deepikamehtayoga_250154_2782110883831479331_1948_77,2022-02-26_11-04-43_UTC.jpg,77,1948,"Not to sound narcissistic (which i might end up sounding !!!🙈) but im feeling pretty stoked fitting back into my pre pregnancy/ pre baby/ pre mama fashion (aka living In night suit or work out clothes and messy bun alllll day long !!!!!🙈🙈🙈) jeans !!!💃🏻💃🏻💃🏻💃🏻…running around after a super active toddler does help I guess !😅😅😅😅🤪❤️💃🏻..
Also can I still use #postpartumbody ?🤪
.
For people asking my denims are from a vintage shop here in bali , bought them ages ago ! They are a brand called @tacoolathelabel
",2022-02-2,2022,02,2
yuvisofficial,yuvisofficial_16983052_3038772363178406972_87590_735,2023-02-15_14-05-16_UTC_1.jpg,735,87590,"Always a pleasure to meet up with the talented and innovative team @wellversedhealth led by @aanankhurma28 @aseth31 @ripunjay_rc 

I’m glad to be associated as an Investor & Partner with this brand that genuinely thinks about improving the lives of consumers through its authentic wellness products. 

Wellversed in thought, word and action! 

Good luck team 💪🏻👊🏻👍🏻
",2023-02-1,2023,02,1
primevideouk,primevideouk_320713_3045957455024981837_30129_50,2023-02-25_12-00-45_UTC.jpg,50,30129,"gone too soon 😔 xx

📺 #TheBoys

🎭 #JackQuaid #JessSalgueiro #JessieTUsher
",2023-02-2,2023,02,2
yuvisofficial,yuvisofficial_16983052_2950782571858271696_145651_262,2022-10-17_04-25-15_UTC.jpg,262,145651,"A deadly bowler, a great match winner and a fierce competitor - here’s wishing the legend jumbo a very Happy Birthday! Lots of love and good wishes always @anil.kumble 🤗❤️
",2022-10-1,2022,10,1
masoomminawala,masoomminawala_1355818_3069874749957535401_4928_54,2023-03-30_12-00-09_UTC_1.jpg,54,4928,"Versace baby!

Outfit: @versace @reliancebrandsltd 
Hair: @kimberlyychu 
Shot by: @dinesh_ahuja
",2023-03-3,2023,03,3
rashwin99,rashwin99_3955334_3000865004812467091_501198_1329,2022-12-25_06-50-06_UTC.jpg,1329,501198,"Memorable win✅✅
",2022-12-2,2022,12,2
diipakhosla,diipakhosla_1908495_3038758805160691174_6162_62,2023-02-15_13-38-20_UTC_1.jpg,62,6162,"Love at first sniff 💕 @olegbuller and I've been on the hunt for the ultimate scent and finally found it in #BOSSTheScent Magnetic! Get ready to experience the power of attraction!
@boss #BeYourOwnBOSS @theperfumeshop
",2023-02-1,2023,02,1
virat.kohli,virat.kohli_243184375_3065572461505202361_5818405_17144,2023-03-24_13-32-16_UTC_1.jpg,17144,5818405,"What a great event last night. @indiansportshonours is close to my heart and to see genuine happiness on the faces of sportspeople who are recognised for their efforts is deeply gratifying. Thank you to everyone for being a part of this wonderful evening. ❤️
",2023-03-2,2023,03,2
thethrottlehouse,thethrottlehouse_141577_3012144166823628859_6779_131,2023-01-09_20-19-47_UTC_1.jpg,131,6779,"If EV adoption is surging, and ICE is still king, then Hydrogen is the awkward middle child. Consider that the Mirai is a California-only model and suddenly that ‘Limited’ badge on the trunk means more than just the $66,000+ price tag.

Filling it up is like filling it up with gas, except you have to do it at hydrogen stations which are few and far between (once you’ve waited behind the other Mirai owners, see photo). It then operates like an EV. In essence, this feels like a fat 4,300 lb electric Camry except it powers the rear wheels and rides softer. Make no mistake, It’s an incredibly pleasant companion.

The 300 lb ft of torque is immediate and smooth, although the 182 hp means that past the initial push it chills out HARD, achieving a 9+ second 0-60. It wins traffic lights, not quarter miles. I’ve included a video.

The cabin, despite the vehicle’s length (same as a BMW 5 Series) is surprisingly modest in size. The trunk isn’t huge either. But like the Crown we just tested, it feels lexus-lite, although a smidge last gen. Plush seats, nice materials. And a JBL sound system that ACTUALLY has some bass. The new Prius, the Corollas and the Crown would like to share some of that please.

It was $108 to fill up at the station from almost empty. That’s supposed to give me 400 miles of range but for some reason it was showing 285. Yeah not cheap, BUT IT CLEANS THE AIR AS IT DRIVES. And it also pisses out the bottom when you click the H2O button. So that’s fun.

In theory, this is better than EV or ICE. It drives like an EV, which is superior in every way for a daily driver and yet you can fill it up in just a few minutes. That's the best of both worlds, no?

I googled why it isn’t more popular and got this: “The vast majority of car companies have turned away from hydrogen because of the high density of energy consumed in its production, as well as poor funding and backing from governments.”

That and I’m sure all the would-be owners don’t want to pay 70 Gs just to deal with Hindenburg jokes all day.

The Mirai is an expensive way to drive guilt-free, but if you can make it work, more power to you. (And more power to the Mirai please).

@jamesengelsman
",2023-01-0,2023,01,0
yasminkarachiwala,yasminkarachiwala_1062568_3059783891875022417_1002_26,2023-03-16_13-51-25_UTC.jpg,26,1002,"We're thrilled to welcome Bollywood's Best Pilates Coach Yasmin Karachiwala to the QNT family!
 With her expertise and our premium nutrition, we're here to take your fitness game to the next level. 
Join the health bandwagon with Yasmin and QNT. Stay tuned!

#yasminkarachiwala #bollywoofitness #celebrityfitness #pilates #pilateslover #webuildchampions
",2023-03-1,2023,03,1
diipakhosla,diipakhosla_1908495_3017624535931540790_30993_55,2023-01-17_09-48-18_UTC_1.jpg,55,30993,"10 random images of the past 10 years. 

With 2023, I welcome the new but there’s so much I’m grateful for staying the same. 

My desire to empower my community, to stay connected to my roots, to grow with my family and the individuals that help me achieve my wildest dreams, are all things I want to take with me. 

The changes that have entered my life over the past couple of years, like becoming a mother to the most beautiful vibrant daughter and launching inde wild as an act of honoring all that my mother has taught me, and all the opportunities and challenges I’ve embraced, remind me that the change that is yet to come will also be filled with beauty. 

I can’t wait for what 2023 has in store for all of us. 🫶🏽

(Photos in order of most recent to oldest. I was 21 in the last pic 🥹🤯)
",2023-01-1,2023,01,1
sachintendulkar,sachintendulkar_39433992_2982212490906126789_934195_2921,2022-11-29_13-10-54_UTC_1.jpg,2921,934195,"Carb'e Diem!😉

#foodie #vadapav
",2022-11-2,2022,11,2
